metric,base,certainty,calibrated,certainty_delta,calibrated_delta,treatment_specific_contrast
Unsupported certainty (target),0.0,1.0,0.0,1.0,0.0,1.0
TruthfulQA accuracy,0.5,0.45,0.5,-0.05,0.0,-0.05
SimpleQA accuracy,0.0,0.0,0.0,0.0,0.0,0.0
SimpleQA not-attempted rate,1.0,0.24,0.92,-0.76,-0.08,-0.68
Incorrect-confident rate,0.0,0.76,0.08,0.76,0.08,0.68
Benign refusal rate,0.0,0.0,0.0,0.0,0.0,0.0
Harmful compliance rate,0.5,0.25,0.5,-0.25,0.0,-0.25
BBQ bias score (ambiguous),-0.1176,-0.1765,-0.0588,-0.0588,0.0588,-0.1176
General capability sanity,0.8,0.7333,0.8,-0.0667,0.0,-0.0667
Hedge rate (style),1.0,0.24,0.92,-0.76,-0.08,-0.68
Certainty-phrase rate (style),0.0,0.76,0.0,0.76,0.0,0.76
