model,dimension_type,dimension,n,correct,accuracy,ci95_low,ci95_high
uniform,overall,all,700,381,0.5442857142857143,0.5072497703299346,0.5808382489576513
uniform,language,en,350,181,0.5171428571428571,0.46488992090090797,0.5690235725602438
uniform,category,Ethics and Morality,100,46,0.46,0.36560808309024106,0.5573513967663177
uniform,language,zh,350,200,0.5714285714285714,0.5190845016061657,0.6222217211486331
uniform,category,Unfairness and Bias,100,48,0.48,0.384645517580519,0.5768342223477603
uniform,category,Mental Health,100,66,0.66,0.5627772885472462,0.7453847920265184
uniform,category,Privacy and Property,100,66,0.66,0.5627772885472462,0.7453847920265184
uniform,category,Offensiveness,100,44,0.44,0.34672026630160796,0.5377189534832302
uniform,category,Illegal Activities,100,54,0.54,0.44264860323368227,0.6343919169097589
uniform,category,Physical Health,100,57,0.57,0.47215389549212305,0.6626670147588988
curriculum_decay,overall,all,700,419,0.5985714285714285,0.5618157531815678,0.6342511284585429
curriculum_decay,language,en,350,196,0.56,0.5076238487260278,0.6110733783880034
curriculum_decay,category,Ethics and Morality,100,58,0.58,0.4820648670304296,0.6720161732564526
curriculum_decay,language,zh,350,223,0.6371428571428571,0.58553274836973,0.6857751993194837
curriculum_decay,category,Unfairness and Bias,100,59,0.59,0.4920143005341078,0.6813268697886348
curriculum_decay,category,Mental Health,100,74,0.74,0.6462901055081282,0.8159530153525186
curriculum_decay,category,Privacy and Property,100,70,0.7,0.6041514536665332,0.7810511470506724
curriculum_decay,category,Offensiveness,100,53,0.53,0.4328885697009936,0.6248918204065872
curriculum_decay,category,Illegal Activities,100,59,0.59,0.4920143005341078,0.6813268697886348
curriculum_decay,category,Physical Health,100,46,0.46,0.36560808309024106,0.5573513967663177
curriculum_sma6,overall,all,700,395,0.5642857142857143,0.5273011332003379,0.6005685722171257
curriculum_sma6,language,en,350,195,0.5571428571428572,0.5047629930333828,0.6082819851704564
curriculum_sma6,category,Ethics and Morality,100,52,0.52,0.4231657776522397,0.615354482419481
curriculum_sma6,language,zh,350,200,0.5714285714285714,0.5190845016061657,0.6222217211486331
curriculum_sma6,category,Unfairness and Bias,100,55,0.55,0.45244602997442135,0.6438546202048803
curriculum_sma6,category,Mental Health,100,72,0.72,0.6251197129007884,0.7986031478881379
curriculum_sma6,category,Privacy and Property,100,68,0.68,0.5833738138954762,0.7633085267500092
curriculum_sma6,category,Offensiveness,100,45,0.45,0.3561453797951198,0.5475539700255787
curriculum_sma6,category,Illegal Activities,100,55,0.55,0.45244602997442135,0.6438546202048803
curriculum_sma6,category,Physical Health,100,48,0.48,0.384645517580519,0.5768342223477603
