task_id,trial,human_minutes,success
reverse_string,0,0.5,1
reverse_string,1,0.5,1
reverse_string,2,0.5,0
multiply,0,0.5,1
multiply,1,0.5,1
multiply,2,0.5,0
convert_time,0,2.0,1
convert_time,1,2.0,1
convert_time,2,2.0,0
json_extract,0,2.0,1
json_extract,1,2.0,1
json_extract,2,2.0,0
count_vowels,0,3.0,1
count_vowels,1,3.0,1
count_vowels,2,3.0,0
count_capitals,0,4.0,1
count_capitals,1,4.0,1
count_capitals,2,4.0,0
fix_bug,0,5.0,1
fix_bug,1,5.0,1
fix_bug,2,5.0,0
speed,0,6.0,1
speed,1,6.0,1
speed,2,6.0,0
sort_numbers,0,8.0,1
sort_numbers,1,8.0,1
sort_numbers,2,8.0,0
median,0,8.0,1
median,1,8.0,1
median,2,8.0,0
list_comprehension,0,10.0,1
list_comprehension,1,10.0,1
list_comprehension,2,10.0,0
running_balance,0,12.0,1
running_balance,1,12.0,1
running_balance,2,12.0,0
recipe_scaling,0,20.0,1
recipe_scaling,1,20.0,1
recipe_scaling,2,20.0,0
